SEXO	EDAD	HORARIO	JORNADA	TiempoLAB	TiempoCUIDADO	DIASEMANA
F	16_34	0	SinOcup	0	20100	4
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
F	M15	0	SinOcup	12600	0	6
F	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	21600	11400	4
M	M60	1	DescansoNOTRAB	26100	0	7
F	35_59	1	DescansoNOTRAB	0	2700	7
M	M60	0	SinOcup	0	0	3
F	16_34	2	DescansoSITRAB	6300	0	7
F	M60	0	SinOcup	0	0	6
F	M15	0	SinOcup	27000	0	5
M	16_34	0	SinOcup	0	7200	7
F	35_59	3	MediaJ	18000	900	5
M	35_59	3	Normal	36900	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
F	M15	0	SinOcup	3900	0	6
F	35_59	0	SinOcup	0	10800	5
M	M60	1	DescansoNOTRAB	0	0	7
F	16_34	3	Normal	27600	0	1
F	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	27000	0	5
F	M60	0	SinOcup	0	0	2
M	35_59	0	SinOcup	0	0	5
M	35_59	1	Otros	17400	0	6
M	16_34	3	Normal	20700	1200	5
F	35_59	1	DescansoNOTRAB	0	0	7
F	16_34	0	SinOcup	3600	0	7
M	M15	0	SinOcup	23400	0	2
M	M60	0	SinOcup	0	0	4
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	20700	0	5
F	16_34	1	DescansoNOTRAB	0	8400	6
F	35_59	3	Normal	26400	0	1
M	M60	0	SinOcup	0	0	4
F	M60	0	SinOcup	0	900	5
F	16_34	3	Normal	17100	12300	5
F	M60	0	SinOcup	0	5400	7
M	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	1	DescansoNOTRAB	0	14400	7
M	35_59	0	SinOcup	0	0	3
F	M60	0	SinOcup	0	6900	6
F	M60	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
F	M15	0	SinOcup	30300	0	6
F	M60	0	SinOcup	0	19200	2
M	M60	0	SinOcup	0	3600	7
F	35_59	3	Normal	23400	6600	1
F	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	29400	0	3
F	35_59	3	Normal	27900	0	5
M	M60	0	SinOcup	0	0	4
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	1800	7
M	35_59	3	Normal	28800	1200	4
F	35_59	3	Normal	33300	0	2
F	35_59	1	Otros	0	50400	5
M	16_34	0	SinOcup	21600	0	3
F	16_34	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	5
M	16_34	3	Normal	24000	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	19200	0	5
F	35_59	5	Normal	26400	14400	6
M	35_59	0	SinOcup	0	24300	6
F	M60	0	SinOcup	0	0	5
F	35_59	0	SinOcup	0	0	5
M	35_59	3	Normal	33900	0	5
M	M15	0	SinOcup	4800	0	6
M	16_34	0	SinOcup	0	0	4
F	35_59	3	Normal	29700	11700	2
F	35_59	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	3
M	35_59	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	29700	7
M	35_59	1	DescansoNOTRAB	0	1500	6
M	16_34	0	SinOcup	11700	0	7
F	35_59	0	SinOcup	0	3600	7
F	M60	0	SinOcup	0	0	4
F	35_59	3	Normal	26100	0	5
M	35_59	1	DescansoNOTRAB	0	1800	1
F	M15	0	SinOcup	2700	0	2
F	35_59	3	Normal	29100	3000	3
F	35_59	0	SinOcup	0	0	6
F	M15	0	SinOcup	24600	0	6
M	M60	0	SinOcup	0	0	7
F	M15	0	SinOcup	16200	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
M	16_34	0	SinOcup	24300	0	4
M	35_59	3	Normal	39600	0	6
M	16_34	0	SinOcup	18600	0	1
F	M15	0	SinOcup	37500	0	7
F	M60	0	SinOcup	0	0	6
M	35_59	4	MediaJ	23400	0	2
M	M15	0	SinOcup	0	0	7
M	35_59	1	DescansoNOTRAB	0	1800	7
F	16_34	3	MediaJ	18000	5700	3
F	35_59	3	Otros	21600	0	5
F	35_59	0	SinOcup	0	18300	6
M	35_59	1	Festivo	0	0	6
F	M60	0	SinOcup	0	9900	5
F	M60	0	SinOcup	0	0	7
M	M15	0	SinOcup	0	14400	6
